"
CTS 130 Spreadsheet
","This course introduces basic spreadsheet design and development. Topics include writing formulas, using functions, enhancing spreadsheets, creating charts, and printing. Upon completion, students should be able to design and print basic spreadsheets and charts."
"
CTS 230 Advanced Spreadsheet
","This course covers advanced spreadsheet design and development. Topics include advanced functions and statistics, charting, macros, databases, and linking. Upon completion, students should be able to demonstrate competence in designing complex spreadsheets."
"
DBA 115 Database Applications
","This course applies concepts learned in <a class=""sc-courselink"" href=""/en/2017-2018/Academic-Bulletin-Student-Handbook/Course-Descriptions/DBA-Database-Management-Technology-Courses/100/DBA-110"">DBA 110</a> to a specific DBMS. Topics include manipulating multiple tables, advanced queries, screens and reports, linking, and command files. Upon completion, students should be able to create multiple table systems that demonstrate updates, screens, and reports representative of industry requirements."
"
MIT 110 Intro to Distance Learning
","This course covers the principles of distance learning, including an introduction to using an interactive distance learning classroom. Emphasis is placed on the different technologies utilized to provide distance learning events (NCIH, telecourses, Internet, etc.). Upon completion, students should be able to demonstrate an understanding of distance learning principles and the technologies that are used to implement distance learning events."
"
NOS 220 Linux/UNIX Admin I
","This course introduces the Linux file system, group administration, and system hardware controls. Topics include installation, creation and maintaining file systems, NIS client and DHCP client configuration, NFS, SMB/Samba, Configure X, Gnome, KDE, basic memory, processes, and security. Upon completion, students should be able to perform system administration tasks including installation, configuring and attaching a new Linux workstation to an existing network."
"
WBL 111 Work-Based Learning I
","This course provides a work-based learning experience with a college-approved employer in an area related to the student's program of study. Emphasis is placed on integrating classroom learning with related work experience. Upon completion, students should be able to evaluate career selection, demonstrate employability skills, and satisfactorily perform work-related competencies."
"
WBL 112 Work-Based Learning I
","This course provides a work-based learning experience with a college-approved employer in an area related to the student's program of study. Emphasis is placed on integrating classroom learning with related work experience. Upon completion, students should be able to evaluate career selection, demonstrate employability skills, and satisfactorily perform work-related competencies."
"
WEB 140 Web Development Tools
","This course provides an introduction to web development software suites. Topics include the creation of web sites and applets using web development software. Upon completion, students should be able to create entire web sites and supporting applets."
"
WEB 210 Web Design
","This course introduces intermediate to advanced web design techniques. Topics include customer expectations, advanced markup language, multimedia technologies, usability and accessibility practices, and techniques for the evaluation of web design. Upon completion, students should be able to employ advanced design techniques to create high impact and highly functional web sites."
"
WEB 214 Social Media
","This course introduces students to social media for organizations. Topics include social media, marketing strategy, brand presence, blogging, social media analytics and technical writing. Upon completion, students should be able to utilize popular social media platforms as part of a marketing strategy, and work with social media analytics tools."
